Figure 3A,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,CT11,CT12,CT13,CT14,CT15,CT16,CT17,CT18,CT19,CT20,CT21,CT22,CT23,CT24,CT25,CT26,CT27,CT28,CT29,CT30,CT31,CT32,CT33,CT34,CT35,CT36,CT37,CT38,CT39,CT40,CT41,CT42,CT43,CT44,CT45,CT46,CT47,CT48,CT49,CT50,CT51,CT52,CT53,CT54,CT55,CT56,CT57,CT58,CT59,CT60,CT61,CT62,CT63,CT64,CT65,CT66,CT67,CT68,CT69,CT70,CT71,CT72,CT73,CT74,CT75,CT76,CT77,CT78,CT79,CT80,CT81,CT82,CT83,CT84,CT85,CT86,CT87,CT88,CT89,CT90,CT91,CT92,CT93,CT94,CT95,CT96,CT97,CT98,CT99,CT100,CT101,CT102,CT103,CT104,CT105,CT106,CT107,CT108,CT109,CT110,CT111,CT112,CT113,CT114,CT115
Crhr1,0.457827964,0.368469984,0.603918343,1,0.797874976,0.4547689,0.288544784,0.570408127,0.749924367,0.508586428,0.466777755,0.47174421,0.714315776,0.177430008,0.425314029,0.386331251,0.271276203,0.243657496,0.37290031,0,0,0,0,0.021136842,0,0,0,0.00289367,0.010182332,0,0,0.134831554,0.283616213,0,0,0,0.002679053,0,0,0,0,0,0,0,0,0,0.343042299,0.6133858,0.592133139,0.225584076,0.019709398,0,0.417420826,0.092706187,0,0.343330685,0,0,0.041414813,0.019313038,0.546884529,0,0,0,0,0,0,0,0,0,0,0,0.000498688,0,0.017542084,0,0,0,0,0.003043517,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Rxfp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410484489,0.481070921,0.053721774,0,0,0,0,0,0.003975288,0,0,0,0.042654802,0.239682745,0.000557532,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455829045,0.665890763,0.810385908,0.896906985,1,0.827858578,0.786421093,0.499937543,0.214740612,0.737800643,0.979204875,0,0.435402272,0.124148005,0,0,0.000521363,0,0,0,0,0,0,0,0,0,0,0,0,0.001504607,0,,,,,,,,,,,,,,,,,,,,,,
Oprl1,0.268339543,0.824398167,0.721920894,0.770946777,0.879146151,0.894796115,0.768698559,0.941658353,0.780226156,0.821332913,0.482387831,0.946976465,0.871238784,0.808078409,0.956248405,0.926035918,0.813741829,0.756813209,0.767763074,0.862137049,0.784286095,0,0.606026264,0.949645132,0.718883638,0.570034087,0.814314657,0.796783617,0.81822262,0.880649421,0.938034521,0.888460539,0.741732019,0.932102205,0.733474216,0.629069682,0.670495949,0.516732042,0.513468131,0.39736651,0.327374952,0.53719367,0.514658122,0.163939866,0.959455765,0,0.539364721,0.750595295,0.501998948,0.524807186,0.325850315,0,0,0,0,0,0,0,0,0,0,0,0.979520999,0.852938343,0.649592906,0.58162238,0.889546725,0.915080387,0.99804179,0.862820839,0.910780368,0.940921305,0.868628571,1,0.784195348,0.951848609,0.961612521,0.855197526,0.99295895,0.972373149,0.783609669,0.930945848,0.857640257,0.67283099,0.691201827,0.609044646,0.729468303,0.589638705,0.514822076,0.616290998,0.648985345,0.636852152,0.356987542,,,,,,,,,,,,,,,,,,,,,,
Crhr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50574209,0.001491651,0.45112886,0.532580822,0.207829366,0.184014358,0.007189349,0,0.013329344,0.197490275,0,0,0.181872971,0.277331982,0.238545089,0.556657284,0.136920384,0.160309493,0.014620424,0.036269824,0.039410221,0,0.921440488,0.909329036,1,0,0,0,0.753519213,0,0,0,0.072704137,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Tacr3,0,0,0,0.03384517,0.167844878,0.00073156,0,0,0,0,0,0,0,0,0.0014508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002496311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49266567,1,0.071267793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898333416,0,,,,,,,,,,,,,,,,,,,,,,
Oprk1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022299427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005662959,0,0,0,0.154490734,0.026719873,0,0,0,0.228275389,0.071456036,0.152813439,0,0.016263817,0.33506898,0.036899467,0.183120545,0.086795436,0.118124196,0,0.54214001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Tacr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026616487,0,0,0,0,0,0,0.460281391,0.032695603,0,0,0,0,0.002352854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.005068346,0,0.176269588,0,0,0,0,0,0,0,0,0.040175815,0.154840657,0.097123772,0,0,0,0,0,0,0,0.074382479,0,0.023092386,0.006494426,0.187769645,0.298893416,0.696630105,,,,,,,,,,,,,,,,,,,,,,
Pth1r,0.001617449,0.000892709,0,0,0.049961893,0.359760088,0.416725744,0.722208968,0.479978231,0.073102566,0,0,0,0.127778975,0.225707147,0.473288738,0.088617057,0.107854499,0.152899903,0.845760792,0.745902277,0,0.235475176,0.763573601,0.041975764,0.066552487,0.436966525,0.610089908,0.00053966,0.005643123,0.039514721,0,0.473868455,0.300437341,0,0,0,0.001070437,0.258735934,0,0,0.03885247,0.146605385,0.268935863,0.463450372,0,0.235677521,0.620433964,0.212888148,0.534751624,0.328683089,0.313691153,0.036720583,0.119924631,0,0,0,0,0,0,0,0,0.539626909,0.331589215,0.354292031,0.191643829,0.356211449,0.243256335,0.601176339,0.266941954,0.57039905,0.034941051,0.084841889,0.055569504,0.119507883,0,0.193852041,0.017510832,0.41729117,0.092632686,0.00156589,0.503646534,0.644762611,0.854273937,0.841802359,0.574246491,0.948128355,0.583886246,1,0.867898139,0.534761509,0.348567308,0,,,,,,,,,,,,,,,,,,,,,,
Vipr1,0.644016583,0.447531693,0.599728978,0.84249479,0.797430473,0.699527391,0.795818663,1,0.870509738,0.685521564,0.702402563,0.807088919,0.779245599,0.550099368,0.125233237,0.642093707,0.332804193,0.462082328,0.522229885,0,0,0,0.263824805,0.694530583,0.548646977,0.469110922,0.423877895,0.179433515,0.301668669,0.10291611,0.036519661,0.078686978,0.119400913,0,0,0,0,0,0,0,0,0,0,0.196297633,0.033514082,0.500208215,0,0,0.01247411,0,0,0.058829689,0.052814699,0,0,0.015354205,0,0.353608405,0.087715396,0.410738795,0.605640802,0.166714375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004753877,0,0,0,0,0,0,0,0.001247011,,,,,,,,,,,,,,,,,,,,,,
Oprm1,0.000845916,0.022112785,0.023378343,0.088344778,0.269574961,0.104909937,0.032243371,0.048824594,0.050184705,0.043402164,0.060504598,0.086964072,0.089902692,0.509357926,0.402653518,0.571673191,0.115492321,0.243987099,0.148013364,0.053121689,0.577869111,0.198527993,0.137562071,0.265556233,0.262836006,0.371033837,0.53310031,0.749848697,0.850114726,0.950651254,1,0.981396697,0.95766509,0.309396018,0.087969912,0.000552644,0.071862171,0.423927508,0.674642413,0.685692448,0.167991766,0.060064354,0.077224597,0.007394944,0.177326557,0.363991356,0.332259851,0.636600685,0.376059281,0.932966401,0.6346329,0.60668163,0.471509803,0.657546385,0.287435641,0.117623422,0.008160868,0,0.018119129,0.000106779,0,0.078902375,0.791281326,0.251363759,0.480142871,0.631137207,0.530506859,0.583216072,0.945853725,0.78967017,0.98965425,0.460674009,0.814269557,0.817730672,0.753661601,0.141716376,0.454838025,0.272081711,0.877868506,0.965593602,0.725395589,0.804807397,0.384617215,0.001587674,0.117507767,0.016696968,0.414920782,0,0.000295404,0.000195818,0.000358285,0.396470451,0.611227651,,,,,,,,,,,,,,,,,,,,,,
Trhr2,0,0,0.454874081,0.141356205,0.557505749,0.011713686,0.089268437,0.533113838,0.839123324,0.427781968,0.133485557,0.062554218,0.613546071,0.383630481,0,0.548955714,0,0.117106913,0.357313774,0.290002828,0,0,0.485691536,1,0.902445739,0.621241681,0.841607423,0.542165499,0.065160012,0.157278839,0.829208031,0.606713538,0.848095558,0,0,0,0.083273186,0,0,0,0,0,0,0,0.436608846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293779781,0.094587467,0,0.390639683,0.207599841,0.446656045,0.400750674,0,0.015019222,0.001681765,0,0.279484705,0.326406616,0.257938222,0.078886069,0.058405096,0.039502561,0,0,0,0,0,0.031550357,0,0.002770288,0.012761597,0,0.166884742,0.106977582,0.017640082,,,,,,,,,,,,,,,,,,,,,,
Vipr2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320644396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,
Rxfp2,0,0,0.013256027,0,0,0,0.000754252,0.014126902,0,0,0,0,0.048567678,0.005979255,0,0,0,0,0,0,0.356465718,0,0,0,0,0,0,0.005657716,0,0,0.536879849,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488143013,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Oprd1,0,0.020717665,0.046859961,0,0,0.002643277,0.018794759,0.236453512,0.171698613,0.045672408,0,0.022213698,0.099420485,0.034809188,0,0,0,0,0,0,0,0.183227483,0.010260201,0.239561856,0.024998243,0,0.020763167,0.000939615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705888571,0.502804083,0.365325457,0.715743907,0.40279477,0.446375546,0.247317322,0.518924965,0.117896214,0.285912757,0.520155822,0.411320824,0.734737825,0.721673255,0.676538153,0.435927649,0.654099276,0.610148972,0.503478656,0.311375116,0.441227967,0.537773748,0.757127133,0.827462471,1,0.52274613,0.694501703,0.750266994,0.716180051,0.53859208,,,,,,,,,,,,,,,,,,,,,,
Ntsr1,0.236279582,0.51253107,0.047818388,0,0.028906468,0,0.043189361,0.582342187,0.329389978,0.501059671,0.407758706,0.739946627,0.664041462,0.123066328,0,0.289213078,0.017706841,0.305893137,0.567664159,0,0,1,0,0.406640608,0.411735608,0.333283261,0.291225421,0.705757602,0.627326188,0.48502664,0.827206856,0.778205938,0.854669332,0.385978504,0,0,0.024741988,0.150833641,0,0,0,0,0,0.085657339,0,0.042001525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008787753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Sstr3,0.685208037,0.447684626,0.798661873,0.583368907,0.697559444,0.727272698,0.487965906,1,0.894872294,0.879367982,0.616791568,0.672185846,0.744557799,0.677045555,0.26238522,0,0,0,0,0,0,0,0.034165793,0.372216836,0.301996355,0.030872278,0.11409986,0.128722804,0.419440219,0.156038839,0.178364739,0.189872927,0.059718606,0,0,0,0,0,0,0,0.003901477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005899945,0.002899789,0,0.055181708,0,0.048052936,0,0,0.012085039,0.00371606,0.104724273,0.005686152,0.1332707,0.035188468,0,0.002844108,0.001041981,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5C,CT4,CT5,CT6,CT13,CT14,CT15,CT16,CT17,CT18,CT19,CT20,CT21,CT22,CT23,CT34,CT35,CT36,CT38,CT40,CT41,CT42,CT48,CT51,CT52,CT53,CT55,CT56,CT57,CT58,CT59,CT60,CT61,CT62,CT63,CT64,CT65,CT66,CT67,CT68,CT69,CT70,CT71,CT72,CT73,CT74,CT75,CT76,CT77,CT78,CT79,CT80,CT81,CT82,CT83,CT84,CT85,CT86,CT87,CT89,CT90,CT91,CT92,CT93,CT94,CT95,CT96,CT97,CT98,CT99,CT100,CT101,CT102,CT103,CT104,CT105,CT106,CT107,CT108,CT109,CT110,CT111,CT113,CT114,CT115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Npy,0.045199266,0.04620432,0.049761388,0.051569493,0.033384851,0.039201762,0.036172982,0.050132998,0.030619621,0.027861144,0.046165496,0.031969594,0.384541266,0.336065594,0.062220556,0.019171583,0.025018141,0.059803745,0.051753701,0.030948752,0.048217109,0,0.026523877,0.005082506,0.056602334,0.008879409,0.584557263,0.587232745,0.635804945,0.787805906,0.853861531,0.970482793,0.834793541,0.762632571,0.633604623,0.57137152,0.883249924,0.733075528,0.90087083,0.389488181,0.139411972,0.18109122,0.158067998,0.203793204,0.366017588,0.11890944,0.098923166,0.100178148,0.099269528,0.10008759,0.857885138,0.779397576,0.647124627,0.386570667,0.785154304,1,0.825371788,0.776165662,0.706653867,0.776430335,0.807401746,0.870095612,0.639534827,0.658528976,0.360566441,0.641874011,0.578631798,0.768037915,0.791416379,0.81569722,0.877977911,0.600481026,0.684539759,0.499151999,0.811134744,0.633986312,0.796314678,0.686374639,0.784457071,0.733131681,0.257115343,0.137942801,0.662794279,0.563001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sst,0.028720116,0.08661802,0.028615249,0.018876987,0.01836507,0.018529,0.018220897,0.027568145,0.018498184,0.019226943,0.047604279,0.009963515,0.032898915,0.028623701,0.102292596,0.016186022,0.003323986,0.044999804,0.033616175,0.028085552,0.072369841,0.002430994,0.005694476,0,0.00889502,0.016430563,0.032961123,0.024546652,0.038905492,0.031395831,0.045234093,0.059355645,0.075933506,0.015448578,0.078452213,0.052827887,0.029907297,0.055900873,0.082457113,0.037719503,0.057161774,0.05185405,0.078562576,0.060338926,0.06291442,0.057047206,0.061874113,0.042126063,0.048283798,0.05572839,0.062484082,0.054192349,0.048176773,0.053021476,0.085274949,1,0.819138353,0.706671459,0.843365379,0.940701609,0.881238703,0.965365484,0.866939823,0.938289383,0.919815998,0.897786142,0.939341996,0.916007885,0.916920242,0.913298014,0.992713696,0.872135017,0.88934363,0.839978416,0.999142071,0.293159333,0.716464161,0.087273054,0.552128865,0.093933012,0.063420366,0.030831812,0.018657655,0.082872879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vip,0.017021877,0.023078486,0.01890897,0.022543459,0.027000461,0.020935063,0.020099875,0.020816809,0.012792766,0.008920496,0.027230386,0.017004826,0.012793404,0.015824444,0.001039906,0.041928042,0.027765886,0.031672675,0.016393642,0.011707086,0.024159256,0.00742615,0.006281144,0.004938798,0.021539392,0.003445134,0.046153922,0.076200504,0.056780619,0.067975975,0.065032742,0.072007175,0.046993879,0.042602239,0.838555347,0.40223147,0.90042601,0.603671343,0.890624518,0.79440063,0.59900125,0.92979659,0.93782362,0.936637236,0.942274137,0.944225891,0.916928362,0.932372273,0.920839496,0.915741952,0.963646293,0.919819571,0.966812453,0.914937911,1,0.027124142,0.054012893,0.060752987,0.065531797,0.060304481,0.065061825,0.057786126,0.061214431,0.060942716,0.070131644,0.056358787,0.088437346,0.061668794,0.066814652,0.052948129,0.046522311,0.04564253,0.062936205,0.068134145,0.072038615,0.035712456,0.050685009,0.03296826,0.034037883,0.03855155,0.03492464,0.100264583,0.042089192,0.053636762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tac2,0.00112354,0.006760822,0.00198523,0.038437698,0.01892872,0.010588365,0.004002051,0.026428775,0.012022724,0.044369982,0.129343146,0.112460465,0.183023283,0.13911183,0.006744605,0.014699561,0.00706651,0.003006126,0,0.000709184,0.002388422,0,0,0,0,0,0.016120721,0.412112273,0.647599978,0.647167069,0.01573351,0.018482224,0.015812931,0.816339807,0.685933264,0.026501013,0.916032546,0.434909033,0.930617674,0.831174393,0.328440498,0.452539137,0.509935114,0.054338873,0.739880846,0.839271384,0.489550306,0.920184911,0.642044635,0.86397369,1,0.858860504,0.950909321,0.918024904,0.9513403,0.003804244,0.005409088,0.010160057,0.018234703,0.017111012,0.007567111,0.066217193,0.543465846,0.079547295,0.183350186,0.608708741,0.06521233,0.025581522,0.019146834,0.045413985,0.134720949,0.852667411,0.13561403,0.413054167,0.220566122,0.010125456,0.014571585,0.00534839,0.006849564,0.005574767,0.005173875,0.023256414,0.009147363,0.010932507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cck,0.831367376,0.830202988,0.858956659,0.884912612,0.866914896,0.851797966,0.803060108,0.848331917,0.793840192,0.806649771,0.838025185,0.856245358,0.875929667,0.861588982,0.762099431,0.753538398,0.766723882,0.044881517,0.041352622,0.647517552,0.165190288,0.454595342,0.631184955,0.624223773,0.414654889,0.431090355,0.849734105,0.797860241,0.701166466,0.34048953,0.428394369,0.669248746,0.704599957,0.953138873,0.90302522,0.844181091,1,0.917282999,0.901030629,0.456152718,0.031254393,0.466087671,0.208454476,0.037569469,0.781658987,0.50610517,0.028351291,0.324141168,0.03211895,0.210721927,0.752203672,0.716164859,0.838967032,0.806417807,0.935513903,0.045111042,0.239222402,0.344408376,0.397947628,0.026515571,0.030223585,0.117257261,0.313292059,0.119581483,0.105034336,0.043239617,0.050748753,0.031223688,0.021689011,0.028862449,0.037540356,0.042274937,0.161813359,0.309220114,0.009875351,0.396893997,0.481769714,0.688878734,0.613605451,0.644053932,0.696016126,0.659159338,0.696034253,0.745833113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penk,0.503289068,0.755625216,0.309347481,0.12313042,0.023717996,0.003741124,0.001746477,0.004460075,0.010028952,0.00144842,0.009226875,0.020034992,0.275386339,0.601129835,0.050969392,0.010053692,0.027405921,0.003227327,0.001108314,0.014407441,0.003052468,0,0.0008349,0,0,0.004098335,0.210225491,0.034556685,0.114858447,0.417558592,0.01037226,0.017564163,0.054344636,0.027342588,0.011535086,0.004412567,0.006896575,0.00569303,0.006655521,0.978080717,0.948313706,1,0.877816778,0.89704357,0.498725428,0.864808551,0.804093463,0.60453641,0.907597984,0.752812127,0.088301269,0.593030074,0.844647195,0.780846609,0.173326724,0.832062151,0.404751812,0.177948607,0.005071905,0.018602513,0.061413275,0.158487814,0.562062353,0.018044419,0.01173742,0.011805777,0.004211122,0.053172069,0.028406253,0.29326286,0.003873366,0.004395449,0.173312302,0.038805814,0.034913144,0.030673506,0.6757809,0.285234471,0.53125674,0.308259591,0.062743767,0.013503066,0.005509704,0.012701479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crh,0.001416315,0.040063757,0,0.004659415,0.001191943,0.002963478,0.000936253,0.001118973,0.001471337,0,0.012365544,0.002017239,0.000236181,0.001161208,0.002017422,0.007486837,0.006623998,0.002636729,0.000635633,0.000156497,0.004029453,0,0,0.004297167,0,0,0.515791953,0.158319098,0.009945692,0.227087072,0.013586236,0.013341854,0.005122342,0.441881027,0.728389579,0.010787893,0.828610599,0.330963914,0.753116819,0.881416196,0.834772277,0.785125364,0.800759333,0.761321812,0.733251684,0.6257146,0.427379153,0.83819894,0.680611647,0.950084699,0.936904357,0.947059289,0.994312,0.933565332,1,0.001053668,0.010892097,0.005827438,0.025117204,0.347591828,0.009206849,0.007567417,0,0.007033589,0.016586291,0.172404479,0.009812382,0.151288674,0.007305331,0.583891937,0.373369982,0.615588801,0.773143197,0.738550773,0.73260292,0.089430464,0.344896088,0.014297623,0.002466059,0.007629,0.006887879,0.014864858,0.005835278,0.010741774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cort,0,0,0,0,0,0.000332635,0.001739043,0.009193549,0.063774366,0.119742399,0.020893318,0.038316006,0,0,0.067464424,0.130918736,0.212301069,0.001584433,0,0,0,0,0.003015872,0,0,0,0.273284926,0.222781819,0.082655489,0.043087178,0.471164263,0.643242116,0.757460979,0.246231331,0.207339413,0.160908156,0.238350061,0.186032088,0.36668214,0.3295181,0.135699168,0.713660618,0.40665119,0.339430573,0.167647996,0.446085213,0.28640984,0.157418542,0.503741082,0.344710847,0.619436232,0.687356119,0.648385737,0.607963567,0.106829094,0.929638215,0.980943752,0.833666667,0.549745196,0.59525237,0.70460881,0.865869429,0.415894665,0.592864881,0.076456887,0.378739609,0.482732196,0.59600832,0.7840186,0.814423021,0.922253894,0.196122045,0.655949908,0.418558192,1,0.604625513,0.893780599,0.759259023,0.972466017,0.86359958,0.758403222,0.28752489,0.830649299,0.736474618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tac1,0,0,0.001135818,0,0,0,0,0,0,0,0,0,0,0,0.00079702,0.002782106,0.056388976,0,0,0,0,0,0,0,0,0,0.003177552,0.00144684,0.001404875,0.001912422,0.002552214,0.000941655,0.088446152,0,0.0025343,0,0.005497171,0.005509423,0,0.000975076,0.000460137,0,0.002659427,0.001286532,0.001258933,0.003416441,0.000240216,0.002088316,0.001992925,0,0.000261028,0.005320896,0.002525112,0.001835819,0.00270304,0.006716978,0.214103478,0.723024536,0.367057783,0,0.005891571,0.002215388,0,0.002089086,0,0.003558073,0.005105749,0.003758836,0,0.000996481,0,0.003819578,0.013955741,0.002540586,0.007105526,0.79732852,1,0.92431144,0.964372138,0.875754927,0.946437268,0.353595494,0.856940658,0.487801842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pdyn,0.449837429,0.468769687,0.001904646,0,0,0,0,0,0.00487441,0.000382856,0,0,0,0,0.056605309,0,0,0,0,0,0,0,0,0.066780806,0.297072523,0,0,0,0,0,0,0,0.000900692,0,0,0,0,0,0,0,0,0,0,0.000804736,0,0,0,0,0,0,0,0,0,0,0,0.314476267,0.143508045,0.077888233,0.473567374,0.675086614,0.512162326,0.300626802,0,0.084589608,0.826672561,0.731052207,1,0.806520045,0.729622849,0.454300419,0.32800466,0.373181214,0.003126129,0.001394603,0,0,0,0,0.000717972,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pthlh,0,0,0.001510652,0,0,0,0,0,0,0,0.02333079,0,0,0,0,0.000948733,0,0,0,0,0,0,0,0,0,0,0,0,0.00085675,0,0.221925707,0.001309108,0.148314423,0,0,0,0,0,0.654260215,0.329305202,0.091075074,0.849134191,0.911694577,0.867785937,0.776224558,0.975550217,0.905454,0.806352746,0.790813901,0.644201889,0.909410042,0.798305963,0.518617312,0.807828569,0.029830257,0,0.002203023,0.017543891,0,0.001297551,0,0.002893789,0,0,0,0,0.00196055,0,0,0,0,0,0,0.002822766,0.298209815,0.028194744,0.106858593,0.234425084,0.406548355,0.303441209,0.39608819,0.375525094,0.295081854,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pnoc,0,0.000791201,0,0.001717628,0,0,0,0,0,0,0,0,0,0,0,0,0.000552792,0.000127159,0.000630344,0,0,0,0,0,0,0.064796508,0.905933389,0.726501107,0.449479399,0.641498897,0.783763203,0.864118281,0.92873378,0.67130782,0.94371192,0.77695907,0.946111274,0.82253659,0.849845285,0.751208504,0.394140356,0.650623811,0.751601237,0.596805899,0.541044692,0.419308561,0.00027381,0.051738805,0.809829334,0.84864323,0.858344096,0.885750377,0.951429702,0.889909124,0.994138448,0.000451867,0.003206011,0.000922359,0,0.001900449,0.074473258,0.150565559,0.536384776,0.006296061,0.012672171,0.015853406,0.468627426,0.402508352,0.206645781,0.166947113,0.312421119,0.446560061,0.400742433,0.472948013,1,0.931616455,0.448615944,0.578172289,0.002270972,0.264915525,0.36505715,0.364948218,0.000322759,0.153067856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trh,0,0.000995191,0,0,0,0,0,0,0,0,0,0.000336384,0,0,0.000427225,0.01491944,0.014389165,0,1,0.099987863,0,0.09101915,0.436663482,0.953805531,0.551695998,0.036977334,0,0,0,0,0,0.29765208,0,0,0,0,0,0.080178512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grp,0.48977095,0.270481676,0,0.071758258,0.000425681,0,0,0.04702836,0.008557529,0.315750194,0.098007734,0.125624788,0.392332226,0.326705342,0.248492373,0.166365174,0.75674952,1,0.101384036,0.716699523,0.562080631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02080991,0.089733366,0.338735705,0.377428318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277531571,0,0.404130932,0,0.135316051,0.014267877,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rln1,0.007567302,0.036999813,0,0,0,0,0,0,0.003256871,0.030743639,0.001519978,0.038863113,0.005591762,0.009999217,0.000815027,0,0,0,0,0,0,0,0.071712834,0,0,0.254389158,0,0.438006439,0.227774934,0,0,0,0,0.224543843,0.369238265,0.041565902,0.055850474,0,0,0.263144165,0.002119733,0,0.043654281,0.237681587,0.003270614,0,0,0,0,0,0,0,0,0,0.337059915,1,0.606093942,0.385173193,0.4252568,0.600860692,0.597032267,0.675555657,0,0.311561983,0.534452314,0.469487691,0.578536326,0.539864189,0.547862241,0.541666474,0.784124003,0,0.283773264,0.459528839,0.506259923,0,0.455399984,0,0.003777253,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adcyap1,0.057028914,0.474141095,0.732465332,0.791366521,0.774706223,0.895866663,0.81765086,0.961157962,1,0.53307645,0.331297992,0.58515725,0.497652771,0.01929394,0.878563348,0.947252862,0.962594056,0.023749797,0,0,0,0,0.05739209,0.153947711,0,0.07138412,0,0.001732805,0.057478488,0.394522513,0.028435216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nts,0,0,0,0,0,0,0,0,0.014511428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071819303,0.081703724,0,0,0,0,0,0,0,0,0,0,0,0,0.139750174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
